ID,Binomial,Replicate,Included.in.LPR2024,Citation,Class,Order,Family,Genus,Species,Subspecies,Common_name,Location,Country,All_countries,Region,IPBES_region,IPBES_subregion,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Native
3501,Crocodylus_porosus,1,0," Bayliss, P. and H. Messel (1988). The population dynamics of estuarine crocodiles. I. An assessment of long-term census data. 9th Working Meeting of the Crocodile Specialist Group of the Species Survival Commission of IUCN, Lae, Papua New Guinea, IUCN - The World Conservation Union, Gland.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Liverpool-Tomkinson river system, Arnhem Land, Northern Territory, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-12.11667,134.18333,0,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Relative density sub-adults and adults >6 feet length (numbers per km of river),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.31,0.24,0.28,0.45,0.36,0.38,0.48,0.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
3502,Crocodylus_porosus,1,0," Messel, H. and G. C. Vorlicek (1986). ""Population Dynamics and Status of Crocodylus porosus in the Tidal Waterways of Northern Australia."" Australian Wildlife Research 13: 71-111.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Blyth-Cadell river system, Arnhem Land, Northern Territory, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-12.16667,134.58333,0,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Total number sighted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,387,353,348,386,399,465,400,315,347,354,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
3503,Crocodylus_porosus,1,0," Bayliss, P. and H. Messel (1988). The population dynamics of estuarine crocodiles. I. An assessment of long-term census data. 9th Working Meeting of the Crocodile Specialist Group of the Species Survival Commission of IUCN, Lae, Papua New Guinea, IUCN - The World Conservation Union, Gland.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Blyth-Cadell river system, Arnhem Land, Northern Territory, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-12.16667,134.58333,0,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Relative density sub-adults and adults >6 feet length (numbers per km of river),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.07,0.15,0.23,0.22,0.24,0.58,0.34,0.42,0.58,0.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
3506,Crocodylus_porosus,0,1," Messel, H. and G. C. Vorlicek (1986). ""Population Dynamics and Status of Crocodylus porosus in the Tidal Waterways of Northern Australia."" Australian Wildlife Research 13: 71-111.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Goomadeer River system, Northern Territory, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-11.85,133.81667,1,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Total number sighted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,52,50,NULL,90,NULL,43,61,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
3507,Crocodylus_porosus,0,1," Messel, H. and G. C. Vorlicek (1986). ""Population Dynamics and Status of Crocodylus porosus in the Tidal Waterways of Northern Australia."" Australian Wildlife Research 13: 71-111.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Majarie River system, Northern Territory, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-20,134,0,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Total number sighted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,7,NULL,NULL,18,NULL,19,17,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
3508,Crocodylus_porosus,0,1," Messel, H. and G. C. Vorlicek (1986). ""Population Dynamics and Status of Crocodylus porosus in the Tidal Waterways of Northern Australia."" Australian Wildlife Research 13: 71-111.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Wurugoij River System, Northern Territory, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-11.93333,133.9,1,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Total number sighted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1,NULL,NULL,9,NULL,6,7,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
3509,Crocodylus_porosus,0,1," Messel, H. and G. C. Vorlicek (1986). ""Population Dynamics and Status of Crocodylus porosus in the Tidal Waterways of Northern Australia."" Australian Wildlife Research 13: 71-111.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Nungbulgarri River System, Northern Territory, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-20,134,0,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Total number sighted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,NULL,NULL,27,23,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
3510,Crocodylus_porosus,0,1," Messel, H. and G. C. Vorlicek (1986). ""Population Dynamics and Status of Crocodylus porosus in the Tidal Waterways of Northern Australia."" Australian Wildlife Research 13: 71-111.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Ngandadauda river system, Northern Territory, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-20,134,0,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Total number sighted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,21,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
3511,Crocodylus_porosus,1,0," Messel, H. and G. C. Vorlicek (1986). ""Population Dynamics and Status of Crocodylus porosus in the Tidal Waterways of Northern Australia."" Australian Wildlife Research 13: 71-111.",Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,NULL,Saltwater crocodile / Estuarine crocodile,"Glyde River system, Northern Territory, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.41667,136.16667,1,Freshwater,NULL,NULL,Australasia,Tropical and subtropical coastal rivers,NULL,NULL,NULL,Total number sighted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,100,NULL,NULL,NULL,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
4813,Hippocampus_abdominalis,0,1," Martin-Smith, K. M. and A. C. J. Vincent (2005). ""Seahorse declines in the Derwent estuary, Tasmania in the absence of fishing pressure."" Biological Conservation 123: 533-545.",Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,abdominalis,NULL,Big-belly seahorse,"Battery Point, Derwent estuary, Tasmania, Australia",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-42.90417,147.36667,1,Marine,NULL,NULL,NULL,NULL,South temperate and Antarctic,South Pacific Ocean,Unknown,number of individuals per 100m square,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.073,0.425,0.15,0.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
