ID,Binomial,Replicate,Included.in.LPR2024,Citation,Class,Order,Family,Genus,Species,Subspecies,Common_name,Location,Country,All_countries,Region,IPBES_region,IPBES_subregion,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Native
15106,Chlorurus_microrhinos,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Chlorurus,microrhinos,NULL,Steephead parrotfish,"Mackay Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.050564,145.648793,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.7,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15107,Scarus_niger,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Scarus,niger,NULL,Dusky parrotfish,"Thetford Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.805329,146.180256,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,6.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15110,Scarus_psittacus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Scarus,psittacus,NULL,Common parrotfish,"Hastings Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.522471,146.012715,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.7,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15112,Scarus_flavipectoralis,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Scarus,flavipectoralis,NULL,Yellowfin parrotfish,"Mackay Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.050564,145.648793,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.7,8.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15113,Chaetodon_trifasciatus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,trifasciatus,NULL,Melon butterflyfish / Pinstriped butterflyfish,"Mackay Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.050564,145.648793,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.3,7.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15114,Scarus_psittacus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Scarus,psittacus,NULL,Common parrotfish,"Thetford Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.805329,146.180256,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40.3,9.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15116,Scarus_rivulatus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Scarus,rivulatus,NULL,Rivulated parrotfish,"Low Islands Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.390768,145.559529,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.7,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15117,Scarus_schlegeli,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Scarus,schlegeli,NULL,Yellowband parrotfish,"Mackay Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.050564,145.648793,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15118,Chlorurus_sordidus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Chlorurus,sordidus,NULL,Daisy parrotfish,"Hastings Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.522471,146.012715,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.7,8.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15119,Chlorurus_sordidus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Chlorurus,sordidus,NULL,Daisy parrotfish,"Thetford Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.805329,146.180256,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33.3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15121,Scarus_spinus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Scarus,spinus,NULL,Greensnout parrotfish,"Thetford Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.805329,146.180256,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15122,Siganus_doliatus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Acanthuriformes,Siganidae,Siganus,doliatus,NULL,Barred spinefoot,"Low Islands Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.390768,145.559529,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15123,Siganus_doliatus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Acanthuriformes,Siganidae,Siganus,doliatus,NULL,Barred spinefoot,"Mackay Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.050564,145.648793,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.3,4.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15124,Siganus_lineatus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Acanthuriformes,Siganidae,Siganus,lineatus,NULL,Golden-lined spinefoot,"Low Islands Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.390768,145.559529,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15127,Acanthochromis_polyacanthus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Pomacentridae,Acanthochromis,polyacanthus,NULL,Spiny chromis,"Thetford Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.805329,146.180256,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15129,Amblyglyphidodon_curacao,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Pomacentridae,Amblyglyphidodon,curacao,NULL,Staghorn damselfish,"Low Islands Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.390768,145.559529,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15133,Amblyglyphidodon_leucogaster,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Pomacentridae,Amblyglyphidodon,leucogaster,NULL,Yellowbelly damselfish,"Mackay Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.050564,145.648793,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.3,7.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15136,Chromis_lepidolepis,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Pomacentridae,Chromis,lepidolepis,NULL,Scaly chromis,"Hastings Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.522471,146.012715,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.7,2.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15137,Chromis_atripectoralis,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Pomacentridae,Chromis,atripectoralis,NULL,Black-axil chromis,"Hastings Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.522471,146.012715,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.3,9.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15138,Chromis_margaritifer,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Pomacentridae,Chromis,margaritifer,NULL,Bicolor chromis,"Hastings Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.522471,146.012715,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,7.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15139,Chromis_margaritifer,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Pomacentridae,Chromis,margaritifer,NULL,Bicolor chromis,"Thetford Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.805329,146.180256,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15140,Scarus_rivulatus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Scaridae,Scarus,rivulatus,NULL,Rivulated parrotfish,"Mackay Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.050564,145.648793,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.3,19.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15141,Acanthochromis_polyacanthus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Pomacentridae,Acanthochromis,polyacanthus,NULL,Spiny chromis,"Low Islands Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.390768,145.559529,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.3,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
15143,Acanthochromis_polyacanthus,0,1,"Cheal, A. J., G. Coleman, et al. (2002). ""Responses of coral and fish assemblages to a severe but short-lived tropical cyclone on the Great Barrier Reef, Australia."" Coral Reefs 21: 131-142.",Actinopteri,Perciformes,Pomacentridae,Acanthochromis,polyacanthus,NULL,Spiny chromis,"Mackay Reef, Cairns, Great Barrier Reef",Australia,Australia,Oceania,Asia and the Pacific,Oceania,-16.050564,145.648793,1,Marine,NULL,NULL,NULL,NULL,Tropical and subtropical Indo-Pacific,South Pacific Ocean,Tropical coral,Mean abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
